Instance Size,vCPU,Memory,Storage,Network ,Bandwith,EBS Bandwidth,1 Year Price, 1 Year PPM ,3 Year Price, 3 Year PPM ,GPUs,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,Accelerator Peer-to-Peer Bidirectional(Gbps),1080p60 Streams,4Kp60 Streams,GPU Peer to Peer,GPUDirect RDMA,EBS Burst Bandwidth (Mbps),Baseline Performance / vCPU,Logical Processors*,Trainium Accelerators,Inferentia2 Accelerators,Inferentia Accelerators,Qualcomm AI 100 Accelerators,FPGAs,Physical Cores,Cores,Accelerator Memory (GB),U30 Accelerators,Gaudi Accelerators,Accelerator Memory (GB),CPU Credits/hour,NVIDIA T4G Tensor Core GPU,GPU Memory (GiB),Inter-accelerator Interconnect,EFA Network Bandwidth (Gbps),Aggregate Disk Throughput (MiB/s)
c5n.large,2,5.25,EBS-Only,,Up to 25,"Up to 4,750",0.073, $ 52.56 ,0.041, $ 29.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gn.large,2,4,EBS-Only,,Up to 25,Up to 9.5,0.06107, $ 43.97 ,0.04039, $ 29.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gd.large,2,4,1 x 118 NVMe SSD,,Up to 12.5,Up to 10,0.0611, $ 43.99 ,0.0398, $ 28.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.05925, $ 42.66 ,0.03976, $ 28.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.large,2,4,EBS-Only,,Up to 12.5,Up to 10,0.0602, $ 43.34 ,0.0391, $ 28.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5a.large,2,8,EBS-Only,,Up to 10,"Up to 2,880",0.059, $ 42.48 ,0.039, $ 28.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5ad.large,2,4,1 x 75 NVMe SSD,,up to 10,"up to 3,170",0.058, $ 41.76 ,0.038, $ 27.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7g.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.056, $ 40.32 ,0.0376, $ 27.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3.large,2,8,EBS-Only,Up to 5,,,0.056, $ 40.32 ,0.0375, $ 27.00 ,,,,,,,,,,,,,,,,,,,,,,,36,,,,,
c6i.large,2,4,EBS-Only,,Up to 12.5,Up to 10,0.05733, $ 41.28 ,0.03724, $ 26.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5.large,2,4,EBS-Only,,Up to 10,"Up to 4,750",0.057, $ 41.04 ,0.037, $ 26.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.medium,1,8,EBS-Only,,Up to 12.5,Up to 10,0.05144, $ 37.04 ,0.03601, $ 25.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6g.large,2,8,EBS-Only,,Up to 10,"Up to 4,750",0.0529, $ 38.09 ,0.0353, $ 25.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3a.large,2,8,EBS-Only,Up to 5,,,0.0506, $ 36.43 ,0.034, $ 24.48 ,,,,,,,,,,,,,,,,,,,,,,,36,,,,,
c5a.large,2,4,EBS-Only,,Up to 10,"Up to 3,170",0.052, $ 37.44 ,0.034, $ 24.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.large,2,4,EBS-Only,,Up to 12.5,Up to 10,0.0516, $ 37.15 ,0.03352, $ 24.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gd.large,2,4,1 x 118 NVMe SSD,,Up to 10,"Up to 4,750",0.052, $ 37.44 ,0.0331, $ 23.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7gd.medium,1,8,1 x 59 NVMe SSD,,Up to 12.5,Up to 10,0.0461, $ 33.19 ,0.0317, $ 22.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7g.large,2,4,EBS-Only,,Up to 12.5,Up to 10,0.0487, $ 35.06 ,0.0317, $ 22.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.medium,1,16,1x59 NVMe SSD,,Up to 10,Up to 4.75,0.0576, $ 41.47 ,0.0311, $ 22.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4g.large,2,8,,,,,0.0452, $ 32.54 ,0.0303, $ 21.82 ,,36,Up to 5,,,,,,"Up to 2,780",30%,,,,,,,,,,,,,,,,,,
c6g.large,2,4,EBS-Only,,Up to 10,"Up to 4,750",0.0467, $ 33.62 ,0.0296, $ 21.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.medium,1,8,1 x 59 NVMe SSD,,Up to 10,"Up to 4,750",0.0391, $ 28.15 ,0.0268, $ 19.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.medium,1,4,EBS-Only,,Up to 12.5,Up to 10,0.03974, $ 28.61 ,0.02667, $ 19.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7g.medium,1,8,EBS-Only,,Up to 12.5,Up to 10,0.0362, $ 26.06 ,0.0253, $ 18.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7gd.medium,1,4,1 x 59 NVMe SSD,,Up to 12.5,Up to 10,0.0365, $ 26.28 ,0.0244, $ 17.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gn.medium,1,2,EBS-Only,,Up to 25,Up to 10,0.0422, $ 30.38 ,0.0237, $ 17.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6g.medium,1,8,EBS-Only,,Up to 10,"Up to 4,750",0.0339, $ 24.41 ,0.0237, $ 17.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.medium,1,2,EBS-Only,,Up to 12.5,Up to 10,0.03461, $ 24.92 ,0.02248, $ 16.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.medium,2,4,EBS-Only,Low to Moderate,,,0.0308, $ 22.18 ,0.0209, $ 15.05 ,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
m6gd.medium,1,4,1 x 59 NVMe SSD,,Up to 10,"Up to 4,750",0.0307, $ 22.10 ,0.0205, $ 14.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gn.medium,1,2,EBS-Only,,Up to 16,Up to 9.5,0.03054, $ 21.99 ,0.02019, $ 14.54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gd.medium,1,2,1 x 59 NVMe SSD,,Up to 12.5,Up to 10,0.0306, $ 22.03 ,0.0199, $ 14.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7g.medium,1,4,EBS-Only,,Up to 12.5,Up to 10,0.028, $ 20.16 ,0.0188, $ 13.54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3.medium,2,4,EBS-Only,Up to 5,,,0.028, $ 20.16 ,0.0187, $ 13.46 ,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
m6g.medium,1,4,EBS-Only,,Up to 10,"Up to 4,750",0.0265, $ 19.08 ,0.0176, $ 12.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3a.medium,2,4,EBS-Only,Up to 5,,,0.0253, $ 18.22 ,0.017, $ 12.24 ,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
c6gd.medium,1,2,1 x 59 NVMe SSD,,Up to 10,"Up to 4,750",0.026, $ 18.72 ,0.0166, $ 11.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7g.medium,1,2,EBS-Only,,Up to 12.5,Up to 10,0.0244, $ 17.57 ,0.0158, $ 11.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4g.medium,2,4,,,,,0.0226, $ 16.27 ,0.0152, $ 10.94 ,,24,Up to 5,,,,,,"Up to 2,085",20%,,,,,,,,,,,,,,,,,,
c6g.medium,1,2,EBS-Only,,Up to 10,"Up to 4,750",0.0234, $ 16.85 ,0.0148, $ 10.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.small,1,2,EBS-Only,Low to Moderate,,,0.0154, $ 11.09 ,0.0105, $ 7.56 ,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
t3.small,2,2,EBS-Only,Up to 5,,,0.014, $ 10.08 ,0.0094, $ 6.77 ,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
t3a.small,2,2,EBS-Only,Up to 5,,,0.0127, $ 9.14 ,0.0085, $ 6.12 ,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
t4g.small,2,2,,,,,0.0113, $ 8.14 ,0.0076, $ 5.47 ,,24,Up to 5,,,,,,"Up to 2,085",20%,,,,,,,,,,,,,,,,,,
t2.micro,1,1,EBS-Only,Low to Moderate,,,0.0078, $ 5.62 ,0.0052, $ 3.74 ,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
t3.micro,2,1,EBS-Only,Up to 5,,,0.007, $ 5.04 ,0.0047, $ 3.38 ,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
t3a.micro,2,1,EBS-Only,Up to 5,,,0.0063, $ 4.54 ,0.0042, $ 3.02 ,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
t4g.micro,2,1,,,,,0.0057, $ 4.10 ,0.0038, $ 2.74 ,,12,Up to 5,,,,,,"Up to 2,085",10%,,,,,,,,,,,,,,,,,,
t2.nano,1,0.5,EBS-Only,Low,,,0.0039, $ 2.81 ,0.0026, $ 1.87 ,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
t3.nano,2,0.5,EBS-Only,Up to 5,,,0.0035, $ 2.52 ,0.0023, $ 1.66 ,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
t3a.nano,2,0.5,EBS-Only,Up to 5,,,0.0032, $ 2.30 ,0.0021, $ 1.51 ,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
t4g.nano,2,0.5,,,,,0.0028, $ 2.02 ,0.0019, $ 1.37 ,,6,Up to 5,,,,,,"Up to 2,085",5%,,,,,,,,,,,,,,,,,,
